
Court STF: ff7f5ecd-2cb2-4bbb-bb70-265ea9683863
Total: 169851, Already: 40162
  [04:33:40] 1000/169851 — 1000 ok, 0 err — 58s (17/s, ETA 166m)
  [04:34:33] 2000/169851 — 2000 ok, 0 err — 111s (18/s, ETA 155m)
  [04:35:26] 3000/169851 — 3000 ok, 0 err — 163s (18/s, ETA 154m)
  [04:36:16] 4000/169851 — 4000 ok, 0 err — 214s (19/s, ETA 145m)
  [04:37:08] 5000/169851 — 5000 ok, 0 err — 266s (19/s, ETA 145m)
  [04:37:58] 6000/169851 — 6000 ok, 0 err — 316s (19/s, ETA 144m)
  [04:38:48] 7000/169851 — 7000 ok, 0 err — 366s (19/s, ETA 143m)
  [04:39:39] 8000/169851 — 8000 ok, 0 err — 417s (19/s, ETA 142m)
  [04:40:29] 9000/169851 — 9000 ok, 0 err — 466s (19/s, ETA 141m)
  [04:41:19] 10000/169851 — 10000 ok, 0 err — 517s (19/s, ETA 140m)
  [04:42:12] 11000/169851 — 11000 ok, 0 err — 570s (19/s, ETA 139m)
  [04:43:03] 12000/169851 — 12000 ok, 0 err — 621s (19/s, ETA 138m)
  [04:43:54] 13000/169851 — 13000 ok, 0 err — 672s (19/s, ETA 138m)
  [04:44:44] 14000/169851 — 14000 ok, 0 err — 722s (19/s, ETA 137m)
  [04:45:34] 15000/169851 — 15000 ok, 0 err — 772s (19/s, ETA 136m)
  [04:46:23] 16000/169851 — 16000 ok, 0 err — 821s (19/s, ETA 135m)
  [04:47:16] 17000/169851 — 17000 ok, 0 err — 874s (19/s, ETA 134m)
  [04:48:06] 18000/169851 — 18000 ok, 0 err — 924s (19/s, ETA 133m)
  [04:48:56] 19000/169851 — 19000 ok, 0 err — 974s (20/s, ETA 126m)
  [04:49:46] 20000/169851 — 20000 ok, 0 err — 1023s (20/s, ETA 125m)
  [04:50:35] 21000/169851 — 21000 ok, 0 err — 1073s (20/s, ETA 124m)
  [04:51:27] 22000/169851 — 22000 ok, 0 err — 1124s (20/s, ETA 123m)
  [04:52:19] 23000/169851 — 23000 ok, 0 err — 1176s (20/s, ETA 122m)
  [04:53:08] 24000/169851 — 24000 ok, 0 err — 1225s (20/s, ETA 122m)
  [04:53:57] 25000/169851 — 25000 ok, 0 err — 1274s (20/s, ETA 121m)
  [04:54:46] 26000/169851 — 26000 ok, 0 err — 1323s (20/s, ETA 120m)
  [04:55:38] 27000/169851 — 27000 ok, 0 err — 1375s (20/s, ETA 119m)
  [04:56:27] 28000/169851 — 28000 ok, 0 err — 1425s (20/s, ETA 118m)
  [04:57:16] 29000/169851 — 29000 ok, 0 err — 1474s (20/s, ETA 117m)
  [04:58:05] 30000/169851 — 30000 ok, 0 err — 1522s (20/s, ETA 117m)
  [04:58:53] 31000/169851 — 31000 ok, 0 err — 1571s (20/s, ETA 116m)
  [04:59:43] 32000/169851 — 32000 ok, 0 err — 1620s (20/s, ETA 115m)
  [05:00:31] 33000/169851 — 33000 ok, 0 err — 1669s (20/s, ETA 114m)
  [05:01:22] 34000/169851 — 34000 ok, 0 err — 1720s (20/s, ETA 113m)
  [05:02:12] 35000/169851 — 35000 ok, 0 err — 1770s (20/s, ETA 112m)
  [05:03:07] 36000/169851 — 36000 ok, 0 err — 1824s (20/s, ETA 112m)
  [05:03:58] 37000/169851 — 37000 ok, 0 err — 1876s (20/s, ETA 111m)
  [05:04:47] 38000/169851 — 38000 ok, 0 err — 1925s (20/s, ETA 110m)
  [05:05:36] 39000/169851 — 39000 ok, 0 err — 1974s (20/s, ETA 109m)
  [05:06:26] 40000/169851 — 40000 ok, 0 err — 2023s (20/s, ETA 108m)
  [05:07:16] 41000/169851 — 41000 ok, 0 err — 2073s (20/s, ETA 107m)
  [05:08:07] 42000/169851 — 42000 ok, 0 err — 2124s (20/s, ETA 107m)
  [05:08:56] 43000/169851 — 43000 ok, 0 err — 2174s (20/s, ETA 106m)
  [05:09:45] 44000/169851 — 44000 ok, 0 err — 2223s (20/s, ETA 105m)
  [05:10:35] 45000/169851 — 45000 ok, 0 err — 2272s (20/s, ETA 104m)
  [05:11:24] 46000/169851 — 46000 ok, 0 err — 2322s (20/s, ETA 103m)
  [05:12:16] 47000/169851 — 47000 ok, 0 err — 2374s (20/s, ETA 102m)
  [05:13:12] 48000/169851 — 48000 ok, 0 err — 2429s (20/s, ETA 102m)
  [05:14:05] 49000/169851 — 49000 ok, 0 err — 2483s (20/s, ETA 101m)
  [05:14:56] 50000/169851 — 50000 ok, 0 err — 2534s (20/s, ETA 100m)
  [05:15:46] 51000/169851 — 51000 ok, 0 err — 2583s (20/s, ETA 99m)
