[2026-03-29T21:27:40.843Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2008.csv
[2026-03-29T21:27:40.851Z] Ano 2008: 53 semanas
[2026-03-29T21:27:41.191Z] [2008] 2008-12-25/2008-12-31 | novos: 1 | skip: 0 | erros: 0
[2026-03-29T21:27:41.579Z] [2008] 2008-12-18/2008-12-24 | novos: 4 | skip: 0 | erros: 0
[2026-03-29T21:27:42.221Z] [2008] 2008-12-11/2008-12-17 | novos: 23 | skip: 0 | erros: 0
[2026-03-29T21:27:42.392Z] [2008] 2008-12-04/2008-12-10 | novos: 25 | skip: 0 | erros: 0
[2026-03-29T21:27:42.624Z] [2008] 2008-11-27/2008-12-03 | novos: 29 | skip: 0 | erros: 0
[2026-03-29T21:27:42.921Z] [2008] 2008-11-20/2008-11-26 | novos: 33 | skip: 0 | erros: 0
[2026-03-29T21:27:43.108Z] [2008] 2008-11-13/2008-11-19 | novos: 41 | skip: 0 | erros: 0
[2026-03-29T21:27:43.293Z] [2008] 2008-11-06/2008-11-12 | novos: 44 | skip: 0 | erros: 0
[2026-03-29T21:27:43.464Z] [2008] 2008-10-30/2008-11-05 | novos: 49 | skip: 0 | erros: 0
[2026-03-29T21:27:43.651Z] [2008] 2008-10-23/2008-10-29 | novos: 58 | skip: 0 | erros: 0
[2026-03-29T21:27:43.854Z] [2008] 2008-10-16/2008-10-22 | novos: 72 | skip: 0 | erros: 0
[2026-03-29T21:27:44.105Z] [2008] 2008-10-09/2008-10-15 | novos: 87 | skip: 0 | erros: 0
[2026-03-29T21:27:44.309Z] [2008] 2008-10-02/2008-10-08 | novos: 93 | skip: 0 | erros: 0
[2026-03-29T21:27:44.509Z] [2008] 2008-09-25/2008-10-01 | novos: 100 | skip: 0 | erros: 0
[2026-03-29T21:27:44.930Z] [2008] 2008-09-18/2008-09-24 | novos: 117 | skip: 0 | erros: 0
[2026-03-29T21:27:45.288Z] [2008] 2008-09-11/2008-09-17 | novos: 126 | skip: 0 | erros: 0
[2026-03-29T21:27:45.833Z] [2008] 2008-09-04/2008-09-10 | novos: 132 | skip: 0 | erros: 0
[2026-03-29T21:27:46.051Z] [2008] 2008-08-28/2008-09-03 | novos: 137 | skip: 0 | erros: 0
[2026-03-29T21:27:46.239Z] [2008] 2008-08-21/2008-08-27 | novos: 148 | skip: 0 | erros: 0
[2026-03-29T21:27:46.426Z] [2008] 2008-08-14/2008-08-20 | novos: 157 | skip: 0 | erros: 0
[2026-03-29T21:27:46.738Z] [2008] 2008-08-07/2008-08-13 | novos: 166 | skip: 0 | erros: 0
[2026-03-29T21:27:46.956Z] [2008] 2008-07-31/2008-08-06 | novos: 181 | skip: 0 | erros: 0
[2026-03-29T21:27:47.173Z] [2008] 2008-07-24/2008-07-30 | novos: 190 | skip: 0 | erros: 0
[2026-03-29T21:27:47.407Z] [2008] 2008-07-17/2008-07-23 | novos: 196 | skip: 0 | erros: 0
[2026-03-29T21:27:47.594Z] [2008] 2008-07-10/2008-07-16 | novos: 201 | skip: 0 | erros: 0
[2026-03-29T21:27:47.812Z] [2008] 2008-07-03/2008-07-09 | novos: 211 | skip: 0 | erros: 0
[2026-03-29T21:27:48.092Z] [2008] 2008-06-26/2008-07-02 | novos: 249 | skip: 0 | erros: 0
[2026-03-29T21:27:48.264Z] [2008] 2008-06-19/2008-06-25 | novos: 252 | skip: 0 | erros: 0
[2026-03-29T21:27:48.450Z] [2008] 2008-06-12/2008-06-18 | novos: 255 | skip: 0 | erros: 0
[2026-03-29T21:27:48.638Z] [2008] 2008-06-05/2008-06-11 | novos: 262 | skip: 0 | erros: 0
[2026-03-29T21:27:48.857Z] [2008] 2008-05-29/2008-06-04 | novos: 278 | skip: 0 | erros: 0
[2026-03-29T21:27:49.045Z] [2008] 2008-05-22/2008-05-28 | novos: 289 | skip: 0 | erros: 0
[2026-03-29T21:27:49.218Z] [2008] 2008-05-15/2008-05-21 | novos: 300 | skip: 0 | erros: 0
[2026-03-29T21:27:49.406Z] [2008] 2008-05-08/2008-05-14 | novos: 305 | skip: 0 | erros: 0
[2026-03-29T21:27:49.593Z] [2008] 2008-05-01/2008-05-07 | novos: 316 | skip: 0 | erros: 0
[2026-03-29T21:27:50.751Z] [2008] 2008-04-24/2008-04-30 | novos: 328 | skip: 0 | erros: 0
[2026-03-29T21:27:51.021Z] [2008] 2008-04-17/2008-04-23 | novos: 342 | skip: 0 | erros: 0
[2026-03-29T21:27:51.289Z] [2008] 2008-04-10/2008-04-16 | novos: 354 | skip: 0 | erros: 0
[2026-03-29T21:27:51.479Z] [2008] 2008-04-03/2008-04-09 | novos: 365 | skip: 0 | erros: 0
[2026-03-29T21:27:51.712Z] [2008] 2008-03-27/2008-04-02 | novos: 368 | skip: 0 | erros: 0
[2026-03-29T21:27:51.977Z] [2008] 2008-03-20/2008-03-26 | novos: 375 | skip: 0 | erros: 0
[2026-03-29T21:27:52.166Z] [2008] 2008-03-13/2008-03-19 | novos: 379 | skip: 0 | erros: 0
[2026-03-29T21:27:53.710Z] [2008] 2008-03-06/2008-03-12 | novos: 383 | skip: 0 | erros: 0
[2026-03-29T21:27:54.287Z] [2008] 2008-02-28/2008-03-05 | novos: 394 | skip: 0 | erros: 0
